can_id,count,msgs_per_sec,percentage,unique_data,dlc,sample_data
39E,348,0.5589626730878714,0.08704482808646452,1,2,00 40 00 00 00 00 00 00
423,347,0.5573564585100327,0.08679469927012412,1,1,00 00 00 00 00 00 00 00
420,347,0.5573564585100327,0.08679469927012412,1,8,00 02 00 03 FB FE 00 2A
4DD,346,0.555750243932194,0.08654457045378369,1,8,1E 00 00 00 00 00 00 00
3BC,346,0.555750243932194,0.08654457045378369,5,8,00 00 00 00 00 80 00 00
38F,343,0.5509316001986778,0.08579418400476245,1,8,01 00 00 00 00 00 00 00
3BE,341,0.5477191710430004,0.08529392637208162,1,1,40 00 00 00 00 00 00 00
399,341,0.5477191710430004,0.08529392637208162,1,7,00 00 00 00 00 00 00 00
4F1,313,0.5027451628635166,0.07829031951455,1,8,23 00 01 01 00 00 00 00
38A,304,0.4882892316629681,0.07603916016748626,1,5,00 00 08 00 00 00 00 00
7B8,259,0.4160095756602261,0.06478336343216758,125,8,07 61 03 09 09 09 09 00
383,175,0.2810875511217744,0.04377254285957268,1,8,03 2D 05 00 01 80 00 00
613,175,0.2810875511217744,0.04377254285957268,1,8,28 00 00 00 00 00 00 00
616,175,0.2810875511217744,0.04377254285957268,1,8,2B 00 00 00 00 00 00 00
3D6,70,0.11243502044870976,0.017509017143829072,1,7,00 00 00 00 00 00 00 00
381,70,0.11243502044870976,0.017509017143829072,1,8,00 23 23 00 80 00 00 00
382,70,0.11243502044870976,0.017509017143829072,1,2,2C 2C 00 00 00 00 00 00
619,37,0.059429939380032305,0.009254766204595368,9,8,23 00 00 74 60 00 43 80
61A,35,0.05621751022435488,0.008754508571914536,1,8,24 00 00 00 00 00 8C 60
